time,strategy,name,value
2024-03-15T03:00:01.010000000Z,1,fast_minus_slow,29.6433
2024-03-15T03:15:01.010000000Z,1,fast_minus_slow,24.1883
2024-03-15T03:30:01.010000000Z,1,fast_minus_slow,18.32
2024-03-15T03:45:01.010000000Z,1,fast_minus_slow,12.1375
2024-03-15T04:00:01.010000000Z,1,fast_minus_slow,5.7475
2024-03-15T04:15:01.010000000Z,1,fast_minus_slow,-0.74
2024-03-15T04:30:01.010000000Z,1,fast_minus_slow,-7.21333
2024-03-15T04:45:01.010000000Z,1,fast_minus_slow,-13.565
2024-03-15T05:00:01.010000000Z,1,fast_minus_slow,-19.6867
2024-03-15T05:15:01.010000000Z,1,fast_minus_slow,-25.4692
2024-03-15T05:30:01.010000000Z,1,fast_minus_slow,-30.8183
2024-03-15T05:45:01.010000000Z,1,fast_minus_slow,-35.6383
2024-03-15T06:00:01.010000000Z,1,fast_minus_slow,-39.8475
2024-03-15T06:15:01.010000000Z,1,fast_minus_slow,-43.3758
2024-03-15T06:30:01.010000000Z,1,fast_minus_slow,-46.1617
2024-03-15T06:45:01.010000000Z,1,fast_minus_slow,-48.1583
2024-03-15T07:00:01.010000000Z,1,fast_minus_slow,-49.3292
2024-03-15T07:15:01.010000000Z,1,fast_minus_slow,-49.6567
2024-03-15T07:30:01.010000000Z,1,fast_minus_slow,-49.1342
2024-03-15T07:45:01.010000000Z,1,fast_minus_slow,-47.7717
2024-03-15T08:00:01.010000000Z,1,fast_minus_slow,-45.5925
2024-03-15T08:15:01.010000000Z,1,fast_minus_slow,-42.6333
2024-03-15T08:30:01.010000000Z,1,fast_minus_slow,-38.9442
2024-03-15T08:45:01.010000000Z,1,fast_minus_slow,-34.5892
2024-03-15T09:00:01.010000000Z,1,fast_minus_slow,-29.6433
2024-03-15T09:15:01.010000000Z,1,fast_minus_slow,-24.1883
2024-03-15T09:30:01.010000000Z,1,fast_minus_slow,-18.32
2024-03-15T09:45:01.010000000Z,1,fast_minus_slow,-12.1375
2024-03-15T10:00:01.010000000Z,1,fast_minus_slow,-5.7475
2024-03-15T10:15:01.010000000Z,1,fast_minus_slow,0.74
2024-03-15T10:30:01.010000000Z,1,fast_minus_slow,7.21333
2024-03-15T10:45:01.010000000Z,1,fast_minus_slow,13.565
2024-03-15T11:00:01.010000000Z,1,fast_minus_slow,19.6867
