time,strategy,client_id,event,side,type,price,filled,remaining,reason
2024-03-15T10:15:01.030000000Z,1,1,accepted,buy,market,0,0,1,
2024-03-15T10:15:01.030000000Z,1,1,fill,buy,market,0,1,0,
2024-03-15T16:15:01.030000000Z,1,2,accepted,sell,market,0,0,1,
2024-03-15T16:15:01.030000000Z,1,2,fill,sell,market,0,1,0,
2024-03-15T22:15:01.030000000Z,1,3,accepted,buy,market,0,0,1,
2024-03-15T22:15:01.030000000Z,1,3,fill,buy,market,0,1,0,
2024-03-16T04:15:01.030000000Z,1,4,accepted,sell,market,0,0,1,
2024-03-16T04:15:01.030000000Z,1,4,fill,sell,market,0,1,0,
2024-03-16T10:15:01.030000000Z,1,5,accepted,buy,market,0,0,1,
2024-03-16T10:15:01.030000000Z,1,5,fill,buy,market,0,1,0,
2024-03-16T16:15:01.030000000Z,1,6,accepted,sell,market,0,0,1,
2024-03-16T16:15:01.030000000Z,1,6,fill,sell,market,0,1,0,
2024-03-16T22:15:01.030000000Z,1,7,accepted,buy,market,0,0,1,
2024-03-16T22:15:01.030000000Z,1,7,fill,buy,market,0,1,0,
